"","x"
"1","cannot"
"2","may"
"3","had"
"4","color"
"5","practice"
"6","e-mail"
"7","apologize"
"8","dislike"
"9","iron"
"10","own"
"11","realize"
"12","rebuild"
"13","undress"
"14","unpack"
"15","analyze"
"16","criticize"
"17","emphasize"
"18","equip"
"19","found"
"20","frighten"
"21","google"
"22","misunderstand"
"23","rearrange"
"24","renew"
"25","reschedule"
"26","rewrite"
"27","socialize"
"28","specialize"
"29","strengthen"
"30","threaten"
"31","tighten"
"32","undo"
"33","unlock"
"34","untie"
"35","widen"
"36","authorize"
"37","beware"
"38","broaden"
"39","deepen"
"40","generalize"
"41","imprison"
"42","lengthen"
"43","lessen"
"44","march"
"45","minimize"
"46","misbehave"
"47","misinform"
"48","mislead"
"49","misuse"
"50","motivate"
"51","privatize"
"52","readjust"
"53","reassure"
"54","reconsider"
"55","reconstruct"
"56","recreate"
"57","redevelop"
"58","relocate"
"59","reorganize"
"60","restart"
"61","rethink"
"62","shorten"
"63","simplify"
"64","sue"
"65","summarize"
"66","uncover"
"67","unfold"
"68","unload"
"69","weaken"
"70","worsen"
"71","flatten"
"72","formulate"
"73","fulfill"
"74","intensify"
"75","loosen"
"76","maximize"
"77","misinterpret"
"78","redistribute"
"79","restructure"
"80","sadden"
"81","sharpen"
"82","sympathize"
"83","reort"
"84","characterize"
"85","compute"
"86","enroll"
"87","mobilize"
"88","recount"
"89","stabilize"
"90","unveil"
"91","utilize"
"92","soften"
"93","straighten"
"94","is"
"95","are"
"96","has"
"97","does"
